Company Name,Industry,Symbol,Series,ISIN Code,Percentage Change,Market Cap
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,-2.124789438565056,4258439.2114
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,-2.0913715981903613,1190112.4703455
Brightcom Group Ltd.,Information Technology,BCG,BE,INE425B01027,-4.141099807697124,1711750.4341020002
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,-1.375833130747206,7723201.042944
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,-0.1370018083987845,804341.5024689999
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,0.5242097659641454,537033.71304
CESC Ltd.,Power,CESC,EQ,INE486A01021,0.2562420761336392,1005445.171155
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,-2.8772807207667617,2561066.6184405
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,-2.26934814930746,2406502.5103075
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013,-1.7772230546972745,366315.3237105
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,-1.9707499721128616,840801.7223125
Canara Bank,Financial Services,CANBK,EQ,INE476A01014,-4.426309141109009,4131681.64893
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,-0.1122838515298263,514000.157032
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026,-1.041585057403993,1080623.74636
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,-0.1313895613125004,1514548.3426825
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,-1.7399666268369751,998519.046648
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,-3.120863015564368,377055.532578
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,-3.498544576184348,1592952.385772
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,-2.474883615154111,1546965.75
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021,-2.557263397617715,1591425.12737
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016,-5.055672892429797,954551.28128
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017,-0.5551092366742449,646710.5817130001
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,0.5638788030011055,619889.6528040001
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,0.7955936352509241,1756813.3432920002
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050,-3.704432716402673,1051665.831461
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,-0.2563007261853878,1161283.658466
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,-2.7139560544911845,5898440.5963445
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,-1.178539684374802,8213770.293498
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,-3.2827247025772666,953324.952857
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,-2.8196623847832947,2116306.55904
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,-2.237269894145244,11280874.2025735
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01017,-0.9530049335583212,386991.82738
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,-2.606405778554433,2714758.0004
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,-1.3071050498691283,4194698.440365
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,-2.029485812880505,1132531.009995
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,-2.996784228915339,4095371.960082
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,-1.4812732966366204,2346797.286364
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,-3.673356990750421,1324396.341962
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,-4.381370670681184,2368938.28666
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,-1.4150677482439369,3108243.6
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,-0.9330593140625454,1023138.5181375
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,3.378215449430555,1762303.887096
DLF Ltd.,Realty,DLF,EQ,INE271C01023,-1.9310307411398493,9417336.054462
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,-1.5874616867789235,9479246.461846
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,-4.080860319842783,2802285.873388
